fish_table_id,anem_table_id,fish_spp,sample_id,recap,tag_id,color,sex,size,fish_obs_time,fish_notes,dive_table_id,anem_obs,anem_obs_time,anem_id,old_anem_id,anem_spp,anem_dia,dive_type,date,site,gps,gen_id,fish_indiv,ligation_id,lat,lon
965,860,APCL,APCL13_199,NA,NA,W,J,4,NA,NA,36,110,10:31:15,110,NA,HECR,15,C,2013-05-27,Palanas,1,NA,NA,L0234,NA,NA
2961,2501,APCL,APCL14_465,NA,NA,YR,J,4.1,NA,NA,95,699,12:19:00,689,NA,HECR,25,C,2014-06-26,Cabatoan,1,NA,NA,L2458,NA,NA
1644,1501,APCL,APCL13_595,NA,NA,YP,F,9.7,NA,NA,57,324,14:48:00,324,NA,STME,40,C,2013-06-03,Sitio Baybayon,1,NA,NA,NA,NA,NA
1900,1780,APCL,APCL14_033,NA,NA,O,M,10.1,NA,oldAnemID written as 78 on datasheet, but 78 was seen in a later dive. This one was close to 76.,71,76,11:34:00,395,76,HECR,40,C,2014-06-12,Tamakin Dacot,1,NA,NA,NA,NA,NA
1805,1736,APCL,APCL14_012,NA,NA,W,J,4.6,NA,anemone is 280<cb>? from 3.5m in Fixed transect 2,65,22,09:45:00,22,NA,HECR,25,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,NA,NA
2127,1895,APCL,APCL14_118,NA,NA,W,J,6.6,NA,NA,76,448,10:33:00,442,NA,HECR,15,C,2014-06-16,Haina,1,NA,NA,NA,NA,NA
273,248,APCL,APCL12_121,NA,NA,O,M,7.5,NA,Orange-edged tail,10,NA,15:38:00,NA,NA,HECR,40,E,2012-05-09,Wangag,1,NA,NA,L1776,NA,NA
273,248,APCL,APCL12_121,NA,NA,O,M,7.5,NA,Orange-edged tail,10,NA,15:38:00,NA,NA,HECR,40,E,2012-05-09,Wangag,1,NA,NA,L2219,NA,NA
2303,1994,APCL,APCL14_161,NA,NA,WR,J,4.2,NA,Pair looked like they were courting, no extract, this is part of that contaminated sample group,79,488,09:43:00,480,NA,HEAR,10,C,2014-06-17,Palanas,1,NA,NA,NA,NA,NA
2311,1997,APCL,APCL14_164,NA,NA,YR,J,3.9,NA,no extract because extract believed to be contaminated,79,489,10:00:00,481,NA,HECR,30,C,2014-06-17,Palanas,1,NA,NA,NA,NA,NA
157,93,APCL,APCL12_080,NA,NA,NA,NA,4.7,NA,NA,8,NA,10:23:00,NA,NA,HECR,15,E,2012-05-09,Palanas,1,NA,NA,L2421,NA,NA
157,93,APCL,APCL12_080,NA,NA,NA,NA,4.7,NA,NA,8,NA,10:23:00,NA,NA,HECR,15,E,2012-05-09,Palanas,1,NA,NA,L2420,NA,NA
1798,1732,APCL,APCL14_010,NA,NA,YR,J,3.9,NA,NA,65,378,09:30:00,378,NA,HECR,20,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,10.74032,124.7911285
3089,2577,APCL,APCL14_518,NA,NA,O,M,9.7,NA,NA,101,721,12:46:00,711,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L2516,NA,NA
3089,2577,APCL,APCL14_518,NA,NA,O,M,9.7,NA,NA,101,721,12:46:00,711,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L3591,NA,NA
2983,2514,APCL,APCL14_472,NA,NA,YP,F,8.4,NA,AND ALSO A SNAKE, I THINK (actually a goatfish),95,701,13:02:00,691,NA,ENQD,200,C,2014-06-26,Cabatoan,1,NA,NA,L2540,NA,NA
3081,2573,APCL,APCL14_517,NA,NA,YR,J,4.2,NA,NA,101,720,12:33:00,710,NA,HECR,25,C,2014-06-29,San Agustin,1,NA,NA,L2515,NA,NA
3081,2573,APCL,APCL14_517,NA,NA,YR,J,4.2,NA,NA,101,720,12:33:00,710,NA,HECR,25,C,2014-06-29,San Agustin,1,NA,NA,L3592,NA,NA
3079,2572,APCL,APCL14_515,NA,NA,YP,F,8.2,NA,NA,101,719,12:26:00,709,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L2353,NA,NA
3079,2572,APCL,APCL14_515,NA,NA,YP,F,8.2,NA,NA,101,719,12:26:00,709,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5518,NA,NA
1807,1737,APCL,APCL14_013,NA,NA,YR,J,3.7,NA,NA,65,380,09:52:00,380,NA,HECR,25,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,NA,NA
1814,1739,APCL,APCL14_016,NA,NA,YR,J,3.6,NA,NA,65,14,10:12:00,14,NA,HECR,60,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,NA,NA
456,381,APCL,APCL12_229,NA,NA,Y,J,4.8,NA,NA,18,NA,09:29:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
3143,2613,APCL,APCL14_537,NA,NA,Y,J,5.2,NA,NA,105,733,11:32:00,723,NA,HECR,10,C,2014-07-01,Poroc Rose,1,NA,NA,L2403,NA,NA
3143,2613,APCL,APCL14_537,NA,NA,Y,J,5.2,NA,NA,105,733,11:32:00,723,NA,HECR,10,C,2014-07-01,Poroc Rose,1,NA,NA,L5519,NA,NA
1600,1478,APCL,APCL13_568,NA,NA,O,M,9.4,NA,NA,56,313,13:04:00,313,NA,HECR,30,C,2013-06-03,Sitio Baybayon,1,NA,NA,NA,NA,NA
1101,981,APCL,APCL13_281,NA,NA,BW,J,3,NA,NA,40,160,11:43:10,160,NA,HECR,40,C,2013-05-28,Wangag,1,NA,NA,L0639,NA,NA
1624,1491,APCL,APCL13_585,NA,NA,YR,J,3.6,NA,NA,57,320,14:11:30,320,NA,HECR,20,C,2013-06-03,Sitio Baybayon,1,NA,NA,NA,NA,NA
1662,1513,APCL,APCL13_607,NA,NA,YR,J,3.3,NA,NA,59,330,10:55:00,330,NA,HECR,20,C,2013-06-04,Wangag,1,NA,NA,L1320,NA,NA
1664,1517,APCL,APCL13_608,NA,NA,BW,J,3.3,NA,NA,59,332,11:02:30,332,NA,HECR,25,C,2013-06-04,Wangag,1,NA,NA,NA,NA,NA
1665,1524,APCL,APCL13_609,NA,NA,W,J,4.2,NA,seem to be on outer reef edge here,59,333,11:11:30,333,NA,HECR,15,C,2013-06-04,Wangag,1,NA,NA,L2529,NA,NA
1691,1573,APCL,APCL13_627,NA,NA,BW,J,2.5,NA,NA,59,348,12:46:30,348,NA,HEAR,10,C,2013-06-04,Wangag,1,NA,NA,NA,NA,NA
1716,1599,APCL,APCL13_645,NA,NA,YR,J,2.6,NA,NA,60,359,14:26:45,359,NA,HECR,20,C,2013-06-04,Palanas,1,NA,NA,NA,NA,NA
1221,1213,APCL,APCL13_339,NA,NA,O,M,7.4,NA,NA,42,200,10:15:15,200,NA,ENQD,20,C,2013-05-29,Cabatoan,1,NA,NA,L1306,NA,NA
1221,1213,APCL,APCL13_339,NA,NA,O,M,7.4,NA,NA,42,200,10:15:15,200,NA,ENQD,20,C,2013-05-29,Cabatoan,1,NA,NA,L1692,NA,NA
27,13,APCL,APCL12_017,NA,NA,NA,NA,9.8,NA,NA,3,NA,11:33:00,NA,NA,????,NA,E,2012-05-06,Visca,1,NA,NA,L0008,NA,NA
1758,1697,APCL,APCL13_663,NA,NA,W,J,4,NA,NA,61,371,16:56:00,371,NA,HECR,20,C,2013-06-04,N. Magbangon,1,NA,NA,L1008,NA,NA
1758,1697,APCL,APCL13_663,NA,NA,W,J,4,NA,NA,61,371,16:56:00,371,NA,HECR,20,C,2013-06-04,N. Magbangon,1,NA,NA,L1726,NA,NA
1759,1698,APCL,APCL13_664,NA,NA,W,J,3,NA,NA,61,372,16:59:00,372,NA,HECR,25,C,2013-06-04,N. Magbangon,1,NA,NA,L1010,NA,NA
1759,1698,APCL,APCL13_664,NA,NA,W,J,3,NA,NA,61,372,16:59:00,372,NA,HECR,25,C,2013-06-04,N. Magbangon,1,NA,NA,L1727,NA,NA
438,369,APCL,APCL12_222,NA,NA,Y,J,3.6,NA,Tail on #225 was all orange, not just the edges (though base was white),18,NA,08:46:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
440,369,APCL,APCL12_225,NA,NA,O,M,9.9,NA,Tail on #225 was all orange, not just the edges (though base was white),18,NA,08:46:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
442,371,APCL,APCL12_228,NA,NA,O,M,9.3,NA,NA,18,NA,08:57:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
446,373,APCL,APCL12_226,NA,NA,Y,J,6.4,NA,NA,18,NA,09:06:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
3077,2570,APCL,APCL14_514,NA,NA,W,J,4.1,NA,NA,101,718,12:20:00,708,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1298,NA,NA
3077,2570,APCL,APCL14_514,NA,NA,W,J,4.1,NA,NA,101,718,12:20:00,708,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1707,NA,NA
3077,2570,APCL,APCL14_514,NA,NA,W,J,4.1,NA,NA,101,718,12:20:00,708,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5628,NA,NA
448,375,APCL,APCL12_227,NA,NA,O,M,7.7,NA,NA,18,NA,09:14:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
457,381,APCL,APCL12_230,NA,NA,O,M,8.3,NA,NA,18,NA,09:29:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
1069,931,APCL,APCL13_272,NA,NA,YR,J,3.7,NA,NA,39,152,10:19:15,152,NA,HECR,25,C,2013-05-28,Wangag,1,NA,NA,L0305,NA,NA
1069,931,APCL,APCL13_272,NA,NA,YR,J,3.7,NA,NA,39,152,10:19:15,152,NA,HECR,25,C,2013-05-28,Wangag,1,NA,NA,L4274,NA,NA
1349,1319,APCL,APCL13_417,NA,NA,YR,J,4.4,NA,NA,46,243,11:01:00,243,NA,HECR,30,C,2013-05-30,Wangag,1,NA,NA,NA,NA,NA
467,386,APCL,APCL12_233,NA,NA,O,M,9.6,NA,NA,18,NA,09:58:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
469,387,APCL,APCL12_234,NA,NA,Y,J,5.3,NA,NA,19,NA,11:28:00,NA,NA,HECR,40,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
2298,1993,APCL,APCL14_157,NA,NA,YP,F,8.9,NA,no extract, this is part of that contaminated sample group,79,487,09:40:00,479,NA,HECR,20,C,2014-06-17,Palanas,1,NA,NA,NA,NA,NA
488,400,APCL,APCL12_237,NA,NA,Y,J,4.2,NA,NA,19,NA,12:02:00,NA,NA,HECR,25,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
489,401,APCL,APCL12_238,NA,NA,O,M,8.6,NA,NA,19,NA,12:08:00,NA,NA,????,NA,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
511,423,APCL,APCL12_248,NA,NA,Y,J,4.5,NA,NA,21,NA,09:18:00,NA,NA,HECR,50,E,2012-05-14,Wangag,1,NA,NA,NA,NA,NA
441,370,APCL,APCL12_224,NA,NA,O,M,9.2,NA,NA,18,NA,08:57:00,NA,NA,HECR,40,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
439,369,APCL,APCL12_223,NA,NA,Y,J,5.6,NA,Tail on #225 was all orange, not just the edges (though base was white),18,NA,08:46:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
1689,1571,APCL,APCL13_625,NA,NA,YR,J,2.8,NA,NA,59,347,12:41:00,347,NA,HECR,15,C,2013-06-04,Wangag,1,NA,NA,NA,NA,NA
1687,1570,APCL,APCL13_623,NA,NA,YR,J,2.7,NA,NA,59,346,12:33:00,346,NA,HECR,35,C,2013-06-04,Wangag,1,NA,NA,NA,NA,NA
26,13,APCL,APCL12_001,NA,NA,NA,NA,8.9,NA,NA,3,NA,11:33:00,NA,NA,????,NA,E,2012-05-06,Visca,1,NA,NA,NA,NA,NA
8199,7942,APCL,APCL16_703,N,NA,YR,J,4.8,NA,NA,333,1574,11:08:00,2157,NA,HECR,30,C,2016-06-07,Sitio Baybayon,4,NA,NA,L4790,NA,NA
152,90,APCL,APCL12_065,NA,NA,NA,NA,5.3,NA,NA,8,NA,10:13:00,NA,NA,HEAR,20,E,2012-05-09,Palanas,1,NA,NA,L2262,NA,NA
152,90,APCL,APCL12_065,NA,NA,NA,NA,5.3,NA,NA,8,NA,10:13:00,NA,NA,HEAR,20,E,2012-05-09,Palanas,1,NA,NA,L5571,NA,NA
3140,2610,APCL,APCL14_535,NA,NA,Y,J,4.5,NA,NA,105,731,11:19:00,721,NA,HECR,20,C,2014-07-01,Poroc Rose,1,NA,NA,L1294,NA,NA
3140,2610,APCL,APCL14_535,NA,NA,Y,J,4.5,NA,NA,105,731,11:19:00,721,NA,HECR,20,C,2014-07-01,Poroc Rose,1,NA,NA,L1712,NA,NA
3111,2587,APCL,APCL14_526,NA,NA,YP,F,8.5,NA,NA,101,724,13:14:00,714,NA,ENQD,20,C,2014-06-29,San Agustin,1,NA,NA,L0970,NA,NA
3111,2587,APCL,APCL14_526,NA,NA,YP,F,8.5,NA,NA,101,724,13:14:00,714,NA,ENQD,20,C,2014-06-29,San Agustin,1,NA,NA,L1682,NA,NA
3111,2587,APCL,APCL14_526,NA,NA,YP,F,8.5,NA,NA,101,724,13:14:00,714,NA,ENQD,20,C,2014-06-29,San Agustin,1,NA,NA,L5631,NA,NA
3124,2595,APCL,APCL14_530,NA,NA,Y,J,6.4,NA,NA,101,726,13:35:00,716,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L0940,NA,NA
3124,2595,APCL,APCL14_530,NA,NA,Y,J,6.4,NA,NA,101,726,13:35:00,716,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1710,NA,NA
3124,2595,APCL,APCL14_530,NA,NA,Y,J,6.4,NA,NA,101,726,13:35:00,716,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5633,NA,NA
3101,2584,APCL,APCL14_522,NA,NA,YR,J,3.8,NA,NA,101,722,12:51:00,712,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1681,NA,NA
3101,2584,APCL,APCL14_522,NA,NA,YR,J,3.8,NA,NA,101,722,12:51:00,712,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L0767,NA,NA
3101,2584,APCL,APCL14_522,NA,NA,YR,J,3.8,NA,NA,101,722,12:51:00,712,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5630,NA,NA
3070,2566,APCL,APCL14_510,NA,NA,W,J,4.4,NA,NA,101,715,11:52:00,705,NA,MADO,20,C,2014-06-29,San Agustin,1,NA,NA,L1011,NA,NA
3070,2566,APCL,APCL14_510,NA,NA,W,J,4.4,NA,NA,101,715,11:52:00,705,NA,MADO,20,C,2014-06-29,San Agustin,1,NA,NA,L1704,NA,NA
3070,2566,APCL,APCL14_510,NA,NA,W,J,4.4,NA,NA,101,715,11:52:00,705,NA,MADO,20,C,2014-06-29,San Agustin,1,NA,NA,L5626,NA,NA
3057,2553,APCL,APCL14_506,NA,NA,YR,J,4.2,NA,NA,100,712,08:24:00,702,NA,HECR,40,C,2014-06-29,Elementary School,1,NA,NA,L2352,NA,NA
3057,2553,APCL,APCL14_506,NA,NA,YR,J,4.2,NA,NA,100,712,08:24:00,702,NA,HECR,40,C,2014-06-29,Elementary School,1,NA,NA,L5517,NA,NA
3045,2547,APCL,APCL14_501,NA,NA,Y,J,5.6,NA,NA,99,709,12:48:00,699,NA,HECR,30,C,2014-06-28,Hicgop South,1,NA,NA,L1679,NA,NA
3045,2547,APCL,APCL14_501,NA,NA,Y,J,5.6,NA,NA,99,709,12:48:00,699,NA,HECR,30,C,2014-06-28,Hicgop South,1,NA,NA,L0766,NA,NA
3045,2547,APCL,APCL14_501,NA,NA,Y,J,5.6,NA,NA,99,709,12:48:00,699,NA,HECR,30,C,2014-06-28,Hicgop South,1,NA,NA,L5649,NA,NA
3037,2542,APCL,APCL14_495,NA,NA,W,J,4.8,NA,NA,99,706,12:22:00,696,NA,HECR,25,C,2014-06-28,Hicgop South,1,NA,NA,L2513,NA,NA
3037,2542,APCL,APCL14_495,NA,NA,W,J,4.8,NA,NA,99,706,12:22:00,696,NA,HECR,25,C,2014-06-28,Hicgop South,1,NA,NA,L3600,NA,NA
3033,2540,APCL,APCL14_494,NA,NA,YP,F,8.6,NA,no tube exists for this sample,98,705,09:45:00,695,NA,HECR,25,C,2014-06-28,Caridad Cemetery,1,NA,NA,NA,NA,NA
3029,2534,APCL,APCL14_491,NA,NA,O,M,8.2,NA,NA,98,NA,08:54:00,NA,NA,????,NA,C,2014-06-28,Caridad Cemetery,1,NA,NA,L2461,NA,NA
47,25,APCL,APCL12_014,NA,NA,NA,NA,9.1,NA,#6 and #8 may be swapped. Not sure if I misread the number. However, size of fin clips suggest this is #8.,4,NA,14:48:00,NA,NA,HECR,20,E,2012-05-06,Visca,1,NA,NA,L0005,NA,NA
3001,2517,APCL,APCL14_482,NA,NA,Y,J,4.7,NA,NA,95,702,13:30:00,692,NA,ENQD,100,C,2014-06-26,Cabatoan,1,NA,NA,L2547,NA,NA
2989,2514,APCL,APCL14_478,NA,NA,YP,F,8.2,NA,AND ALSO A SNAKE, I THINK (actually a goatfish),95,701,13:02:00,691,NA,ENQD,200,C,2014-06-26,Cabatoan,1,NA,NA,L2543,NA,NA
2981,2513,APCL,APCL14_469,NA,NA,YP,F,8.5,NA,NA,95,700,12:52:00,690,NA,ENQD,30,C,2014-06-26,Cabatoan,1,NA,NA,L1685,NA,NA
2981,2513,APCL,APCL14_469,NA,NA,YP,F,8.5,NA,NA,95,700,12:52:00,690,NA,ENQD,30,C,2014-06-26,Cabatoan,1,NA,NA,L0637,NA,NA
8001,7768,APCL,APCL16_556,N,NA,YR,J,4.3,NA,NA,328,1475,10:51:00,2061,NA,MADO,30,C,2016-06-04,Wangag,3,NA,NA,L4515,NA,NA
7993,7763,APCL,APCL16_552,N,NA,YR,J,3.5,NA,NA,328,1863,10:43:00,2481,NA,HECR,35,C,2016-06-04,Wangag,3,NA,NA,L4784,NA,NA
7938,7714,APCL,APCL16_511,NA,NA,W,J,4.4,NA,NA,327,NA,13:00:00,NA,NA,????,NA,C,2016-06-03,Wangag,3,NA,NA,L4510,NA,NA
993,875,APCL,APCL13_218,NA,NA,YP,F,8.8,NA,NA,37,119,12:01:45,119,NA,HECR,25,C,2013-05-27,Palanas,1,NA,NA,L1180,NA,NA
993,875,APCL,APCL13_218,NA,NA,YP,F,8.8,NA,NA,37,119,12:01:45,119,NA,HECR,25,C,2013-05-27,Palanas,1,NA,NA,L0253,NA,NA
993,875,APCL,APCL13_218,NA,NA,YP,F,8.8,NA,NA,37,119,12:01:45,119,NA,HECR,25,C,2013-05-27,Palanas,1,NA,NA,L5643,NA,NA
988,872,APCL,APCL13_215,NA,NA,YR,J,2.8,NA,NA,37,118,11:52:30,118,NA,HECR,15,C,2013-05-27,Palanas,1,NA,NA,L0250,NA,NA
7873,7679,APCL,APCL16_467,N,NA,YR,J,4.6,NA,Fish 466 squirted eggs when PIT tag was inserted,325,946,13:24:00,2444,934,HECR,30,C,2016-06-02,S. Magbangon,3,NA,NA,L4778,NA,NA
980,867,APCL,APCL13_216,NA,NA,O,M,8.4,NA,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L1178,NA,NA
980,867,APCL,APCL13_216,NA,NA,O,M,8.4,NA,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L0251,NA,NA
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L0444,NA,NA
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L1626,NA,NA
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L0242,NA,NA
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L1024,NA,NA
122,73,APCL,APCL12_054,NA,NA,NA,NA,9.2,NA,NA,8,NA,09:36:00,NA,NA,HECR,40,E,2012-05-09,Palanas,1,NA,NA,L2412,NA,NA
122,73,APCL,APCL12_054,NA,NA,NA,NA,9.2,NA,NA,8,NA,09:36:00,NA,NA,HECR,40,E,2012-05-09,Palanas,1,NA,NA,L4264,NA,NA
976,865,APCL,APCL13_206,NA,NA,O,M,10.2,NA,NA,36,113,10:51:30,113,NA,HECR,60,C,2013-05-27,Palanas,1,NA,NA,L1174,NA,NA
976,865,APCL,APCL13_206,NA,NA,O,M,10.2,NA,NA,36,113,10:51:30,113,NA,HECR,60,C,2013-05-27,Palanas,1,NA,NA,L0241,NA,NA
7793,7576,APCL,APCL16_426,N,NA,YR,J,4.9,NA,NA,323,533,13:20:00,2424,523,HECR,30,C,2016-05-31,N. Magbangon,3,NA,NA,L4680,NA,NA
2865,2412,APCL,APCL14_348,NA,NA,W,J,5.1,NA,NA,91,658,10:38:00,647,NA,HECR,25,C,2014-06-24,Wangag,1,NA,NA,L1349,NA,NA
2865,2412,APCL,APCL14_348,NA,NA,W,J,5.1,NA,NA,91,658,10:38:00,647,NA,HECR,25,C,2014-06-24,Wangag,1,NA,NA,L2532,NA,NA
2857,2407,APCL,APCL14_343,NA,NA,W,J,4.5,NA,NA,91,655,10:21:00,644,NA,HECR,30,C,2014-06-24,Wangag,1,NA,NA,L0610,NA,NA
2857,2407,APCL,APCL14_343,NA,NA,W,J,4.5,NA,NA,91,655,10:21:00,644,NA,HECR,30,C,2014-06-24,Wangag,1,NA,NA,L3141,NA,NA
7746,7450,APCL,APCL16_387,N,NA,W,J,4.8,NA,NA,322,NA,09:37:00,NA,NA,????,NA,C,2016-05-31,N. Magbangon,3,NA,NA,NA,NA,NA
7761,7491,APCL,APCL16_400,N,NA,YR,J,3.7,NA,NA,322,1801,10:56:00,2422,NA,HECR,30,C,2016-05-31,N. Magbangon,3,NA,NA,L4678,NA,NA
7737,7437,APCL,APCL16_379,N,NA,YR,J,3.8,NA,NA,322,1796,09:25:00,2417,NA,HECR,30,C,2016-05-31,N. Magbangon,3,NA,NA,NA,NA,NA
954,853,APCL,APCL13_191,NA,NA,W,J,3.3,NA,191 sample is two small tail pieces,36,107,10:07:30,107,NA,HECR,20,C,2013-05-27,Palanas,1,NA,NA,L1265,NA,NA
954,853,APCL,APCL13_191,NA,NA,W,J,3.3,NA,191 sample is two small tail pieces,36,107,10:07:30,107,NA,HECR,20,C,2013-05-27,Palanas,1,NA,NA,L0228,NA,NA
2765,2338,APCL,APCL14_392,NA,NA,Y,J,4,NA,oldAnemID is hard to read on datasheet (1X6). Based on location, must be 176.,90,176,15:22:00,608,176,HECR,30,C,2014-06-23,Wangag,1,NA,NA,L4187,NA,NA
947,847,APCL,APCL13_183,NA,NA,W,J,3.2,NA,NA,35,101,15:51:15,101,NA,HECR,20,C,2013-05-26,Sitio Baybayon,1,NA,NA,L1305,NA,NA
947,847,APCL,APCL13_183,NA,NA,W,J,3.2,NA,NA,35,101,15:51:15,101,NA,HECR,20,C,2013-05-26,Sitio Baybayon,1,NA,NA,L1661,NA,NA
947,847,APCL,APCL13_183,NA,NA,W,J,3.2,NA,NA,35,101,15:51:15,101,NA,HECR,20,C,2013-05-26,Sitio Baybayon,1,NA,NA,L0220,NA,NA
941,843,APCL,APCL13_178,NA,NA,O,M,8.9,NA,NA,35,99,15:41:00,99,NA,HECR,30,C,2013-05-26,Sitio Baybayon,1,NA,NA,L1211,NA,NA
941,843,APCL,APCL13_178,NA,NA,O,M,8.9,NA,NA,35,99,15:41:00,99,NA,HECR,30,C,2013-05-26,Sitio Baybayon,1,NA,NA,L0215,NA,NA
2733,2256,APCL,APCL14_378,NA,NA,Y,J,4.1,NA,NA,89,608,11:37:00,597,NA,HECR,30,C,2014-06-23,Wangag,1,NA,NA,NA,NA,NA
939,841,APCL,APCL13_176,NA,NA,O,M,10.3,NA,NA,35,98,15:36:15,98,NA,ENQD,40,C,2013-05-26,Sitio Baybayon,1,NA,NA,L1159,NA,NA
939,841,APCL,APCL13_176,NA,NA,O,M,10.3,NA,NA,35,98,15:36:15,98,NA,ENQD,40,C,2013-05-26,Sitio Baybayon,1,NA,NA,L1619,NA,NA
939,841,APCL,APCL13_176,NA,NA,O,M,10.3,NA,NA,35,98,15:36:15,98,NA,ENQD,40,C,2013-05-26,Sitio Baybayon,1,NA,NA,L0213,NA,NA
2717,2245,APCL,APCL14_369,NA,NA,O,M,7.5,NA,NA,89,603,11:00:00,592,NA,HECR,30,C,2014-06-23,Wangag,1,NA,NA,L2409,NA,NA
7489,7213,APCL,APCL16_232,N,NA,YR,J,4,NA,NA,304,1741,10:42:00,2291,NA,HECR,20,C,2016-05-21,Wangag,3,NA,NA,L4219,NA,NA
2713,2243,APCL,APCL14_367,NA,NA,W,J,3.6,NA,NA,89,601,10:45:00,590,NA,HECR,30,C,2014-06-23,Wangag,1,NA,NA,NA,NA,NA
