offs_lig,par_lig,prob,year,offs_fish_indiv,offs_size,offs_color,offs_sex,offs_gen_id,offs_sample_id,offs_site,offs_date,offs_anem_obs_time,offs_gps,par_fish_indiv,par_size,par_color,par_sex,par_gen_id,par_sample_id,par_site,par_date,par_anem_obs_time,par_gps,offs_time_date,offs_year,offs_month,offs_day,offs_hour,offs_minute,par_time_date,par_year,par_month,par_day,par_hour,par_minute,offs_lat,offs_lon,par_lat,par_lon,dist_par_km
L0641,L1107,1,2013,732,5.7,YR,J,732,APCL13_316,Wangag,2013-05-28,14:53:15,1,1789,7.8,YP,F,1789,APCL13_160,Haina,2013-05-26,13:13:15,1,2013-05-28 06:53:15,2013,5,28,6,53,2013-05-26 05:13:15,2013,5,26,5,13,10.87153125,124.7141215,10.6406245,124.7799105,26.6625313535582
L0660,L1770,1,2013,770,4.2,YR,J,770,APCL13_489,Palanas,2013-05-31,13:34:36,1,124,7.5,NA,NA,124,APCL12_110,Wangag,2012-05-09,15:05:00,1,2013-05-31 05:34:36,2013,5,31,5,34,2012-05-09 07:05:00,2012,5,9,7,5,10.87311725,124.7120945,10.871661,124.7140425,0.267339029606937
L0661,L2217,1,2013,601,2.3,YR,J,601,APCL13_490,Palanas,2013-05-31,13:34:36,1,133,9,O,M,133,APCL12_117,Wangag,2012-05-09,15:00:00,1,2013-05-31 05:34:36,2013,5,31,5,34,2012-05-09 07:00:00,2012,5,9,7,0,10.87311725,124.7120945,10.871685,124.71399775,0.261835665180309
L0693,L1336,1,2013,439,2.5,YR,J,439,APCL13_633,Palanas,2013-06-04,13:39:00,1,1794,5.5,YP,F,1794,APCL13_650,Palanas,2013-06-04,15:02:30,1,2013-06-04 05:39:00,2013,6,4,5,39,2013-06-04 07:02:30,2013,6,4,7,2,10.87315,124.712475,10.87343025,124.71182725,0.0772936587584241
L0847,L2296,1,2013,780,4,W,J,780,APCL13_464,Palanas,2013-05-31,10:55:10,1,2103,10.3,Y,F,2103,APCL12_243,Visca,2012-05-13,15:39:00,1,2013-05-31 02:55:10,2013,5,31,2,55,2012-05-13 07:39:00,2012,5,13,7,39,10.87385425,124.7110315,10.74385975,124.78638225,16.6334470113432
L1075,L0943,1,2013,804,3.2,W,J,804,APCL13_106,Elementary School,2013-05-25,12:06:15,1,720,10.8,YP,F,720,APCL13_635,Palanas,2013-06-04,13:43:00,1,2013-05-25 04:06:15,2013,5,25,4,6,2013-06-04 05:43:00,2013,6,4,5,43,10.79971225,124.76828625,10.87318,124.7124815,10.192157278913
L1077,L1762,0.999,2013,802,3.7,W,J,802,APCL13_108,Elementary School,2013-05-25,12:06:15,1,236,8.6,O,M,236,APCL12_093,Palanas,2012-05-09,12:33:00,1,2013-05-25 04:06:15,2013,5,25,4,6,2012-05-09 04:33:00,2012,5,9,4,33,10.79971225,124.76828625,10.87353975,124.7119265,10.2604917599739
L1226,L2366,1,2013,534,3.9,W,J,534,APCL13_637,Palanas,2013-06-04,13:49:30,1,150,9.7,O,M,150,APCL12_097,Palanas,2012-05-09,13:01:00,1,2013-06-04 05:49:30,2013,6,4,5,49,2012-05-09 05:01:00,2012,5,9,5,1,10.8732005,124.7124695,10.8733195,124.712191,0.0331659965583416
L2396,L2239,1,2013,645,4.1,YR,J,645,APCL13_507,Visca,2013-06-01,16:58:00,1,365,9.1,O,M,365,APCL13_511,Visca,2013-06-01,17:18:00,1,2013-06-01 08:58:00,2013,6,1,8,58,2013-06-01 09:18:00,2013,6,1,9,18,10.74342725,124.7869355,10.7442715,124.786505,0.104998182041422
L2497,L0944,1,2013,637,2.7,BW,J,637,APCL13_659,N. Magbangon,2013-06-04,16:45:00,1,445,7.5,O,M,445,APCL13_658,N. Magbangon,2013-06-04,16:36:00,1,2013-06-04 08:45:00,2013,6,4,8,45,2013-06-04 08:36:00,2013,6,4,8,36,10.8613015,124.721553,10.86120625,124.7215185,0.0112413174550559
L0259,L0871,1,2013,320,4.6,W,J,320,APCL13_224,Palanas,2013-05-27,12:22:00,1,754,7.4,O,M,754,APCL13_560,Sitio Baybayon,2013-06-03,12:42:00,1,2013-05-27 04:22:00,2013,5,27,4,22,2013-06-03 04:42:00,2013,6,3,4,42,10.8734945,124.7121225,10.63354325,124.776862,27.6027575156793
L0278,L2553,1,2013,312,3.8,YR,J,312,APCL13_245,Palanas,2013-05-27,14:45:00,1,211,10.2,NA,NA,211,APCL12_024,Visca,2012-05-06,15:36:00,1,2013-05-27 06:45:00,2013,5,27,6,45,2012-05-06 07:36:00,2012,5,6,7,36,10.874273,124.710655,10.7440005,124.7863365,16.6781883264749
L0319,L0477,1,2013,549,5.4,W,J,549,APCL13_287,Wangag,2013-05-28,12:07:48,1,643,10.7,YP,F,643,APCL13_497,Palanas,2013-05-31,11:55:00,1,2013-05-28 04:07:48,2013,5,28,4,7,2013-05-31 03:55:00,2013,5,31,3,55,10.871547,124.713929,10.872822,124.711862,0.266545908939256
L0323,L2222,1,2013,269,3.9,YR,J,269,APCL13_291,Wangag,2013-05-28,12:19:45,1,228,10.3,O,M,228,APCL12_125,Wangag,2012-05-09,15:33:00,1,2013-05-28 04:19:45,2013,5,28,4,19,2012-05-09 07:33:00,2012,5,9,7,33,10.87149125,124.7139775,10.871585,124.714269,0.0334952127699731
L0362,L0327,1,2013,447,5.3,W,J,447,APCL13_341,S. Magbangon,2013-05-29,11:09:00,1,762,9,YP,F,762,APCL13_295,Wangag,2013-05-28,12:36:00,1,2013-05-29 03:09:00,2013,5,29,3,9,2013-05-28 04:36:00,2013,5,28,4,36,10.857542,124.725205,10.871445,124.71403675,1.96909828158967
L0660,L1769,1,2013,770,4.2,YR,J,770,APCL13_489,Palanas,2013-05-31,13:34:36,1,132,8,NA,NA,132,APCL12_109,Wangag,2012-05-09,15:09:00,1,2013-05-31 05:34:36,2013,5,31,5,34,2012-05-09 07:09:00,2012,5,9,7,9,10.87311725,124.7120945,10.871653,124.714077,0.2708800853299
L0691,L0886,1,2013,2400,4.9,YR,J,2400,APCL13_626,Wangag,2013-06-04,12:44:00,1,472,8,O,M,472,APCL13_618,Wangag,2013-06-04,12:06:00,1,2013-06-04 04:44:00,2013,6,4,4,44,2013-06-04 04:06:00,2013,6,4,4,6,10.8715195,124.7141605,10.87136125,124.71440325,0.0318169245804333
L0698,L1311,1,2013,480,4.1,W,J,480,APCL13_655,N. Magbangon,2013-06-04,16:27:30,1,600,10.5,YP,F,600,APCL13_484,Palanas,2013-05-31,13:22:00,1,2013-06-04 08:27:30,2013,6,4,8,27,2013-05-31 05:22:00,2013,5,31,5,22,10.86112575,124.721478,10.87311425,124.71195725,1.69055389871787
L0847,L0721,1,2013,780,4,W,J,780,APCL13_464,Palanas,2013-05-31,10:55:10,1,2300,11,YP,F,2300,APCL14_005,Visca,2014-06-07,15:26:00,1,2013-05-31 02:55:10,2013,5,31,2,55,2014-06-07 07:26:00,2014,6,7,7,26,10.87385425,124.7110315,10.7435755,124.78662025,16.6737793613066
L1077,L0327,1,2013,802,3.7,W,J,802,APCL13_108,Elementary School,2013-05-25,12:06:15,1,762,9,YP,F,762,APCL13_295,Wangag,2013-05-28,12:36:00,1,2013-05-25 04:06:15,2013,5,25,4,6,2013-05-28 04:36:00,2013,5,28,4,36,10.79971225,124.76828625,10.871445,124.71403675,9.93599143340518
L1226,L1311,1,2013,534,3.9,W,J,534,APCL13_637,Palanas,2013-06-04,13:49:30,1,600,10.5,YP,F,600,APCL13_484,Palanas,2013-05-31,13:22:00,1,2013-06-04 05:49:30,2013,6,4,5,49,2013-05-31 05:22:00,2013,5,31,5,22,10.8732005,124.7124695,10.87311425,124.71195725,0.0567532866674254
L1248,L0871,1,2013,434,4.5,YR,J,434,APCL13_641,Palanas,2013-06-04,14:11:20,1,754,7.4,O,M,754,APCL13_560,Sitio Baybayon,2013-06-03,12:42:00,1,2013-06-04 06:11:20,2013,6,4,6,11,2013-06-03 04:42:00,2013,6,3,4,42,10.873375,124.7122245,10.63354325,124.776862,27.5870596760481
L2396,L2238,1,2013,645,4.1,YR,J,645,APCL13_507,Visca,2013-06-01,16:58:00,1,25,10.4,YP,F,25,APCL13_510,Visca,2013-06-01,17:18:00,1,2013-06-01 08:58:00,2013,6,1,8,58,2013-06-01 09:18:00,2013,6,1,9,18,10.74342725,124.7869355,10.7442715,124.786505,0.104998182041422
L2499,L2222,1,2013,790,3.5,YR,J,790,APCL13_662,N. Magbangon,2013-06-04,16:52:30,1,228,10.3,O,M,228,APCL12_125,Wangag,2012-05-09,15:33:00,1,2013-06-04 08:52:30,2013,6,4,8,52,2012-05-09 07:33:00,2012,5,9,7,33,10.86127825,124.7215865,10.871585,124.714269,1.39713180947293
L5452,L1765,1,2013,14,9.6,O,M,14,APCL16_776,Palanas,2016-06-14,10:06:00,4,2068,10.1,Y,F,2068,APCL12_104,Wangag,2012-05-09,14:24:00,1,2016-06-14 02:06:00,2016,6,14,2,6,2012-05-09 06:24:00,2012,5,9,6,24,10.874421272875,124.710707673825,10.8718435,124.7137965,0.44263775864463
L0616,L0603,1,2014,744,4.6,W,J,744,APCL14_338,Wangag,2014-06-24,10:00:00,1,2076,8.4,Y,F,2076,APCL14_319,Sitio Baybayon,2014-06-22,15:28:00,1,2014-06-24 02:00:00,2014,6,24,2,0,2014-06-22 07:28:00,2014,6,22,7,28,10.8714325,124.71396825,10.6352305,124.77610625,27.1274818173179
L1022,L1763,1,2014,965,4.4,O,J,965,APCL14_435,Wangag,2014-06-24,13:24:00,1,2056,9.8,Y,F,2056,APCL12_095,Palanas,2012-05-09,12:33:00,1,2014-06-24 05:24:00,2014,6,24,5,24,2012-05-09 04:33:00,2012,5,9,4,33,10.871827,124.7138085,10.87353975,124.7119265,0.280189449692382
L2611,L2737,1,2015,464,5.4,YR,J,464,APCL15_141,Sitio Baybayon,2015-06-13,14:24:00,3,1082,9.8,YP,F,1082,APCL15_373218,Cabatoan,2015-06-05,11:18:00,3,2015-06-13 06:24:00,2015,6,13,6,24,2015-06-05 03:18:00,2015,6,5,3,18,10.633614286775,124.776807676525,10.85536365395,124.726219936275,25.2691426653425
L2711,L0328,1,2015,2276,4.7,Y,J,2276,APCL15_083,Cabatoan,2015-06-05,11:54:00,3,428,9.7,O,M,428,APCL13_296,Wangag,2013-05-28,13:50:20,1,2015-06-05 03:54:00,2015,6,5,3,54,2013-05-28 05:50:20,2013,5,28,5,50,10.855318307875,124.7262603161,10.871347,124.714208,2.21559273601915
L2719,L0733,1,2015,2297,5.5,YR,J,2297,APCL15_082,Cabatoan,2015-06-05,11:54:00,3,448,10.1,O,M,448,APCL14_176,Palanas,2014-06-17,10:52:00,1,2015-06-05 03:54:00,2015,6,5,3,54,2014-06-17 02:52:00,2014,6,17,2,52,10.855318307875,124.7262603161,10.873955,124.71050975,2.69310523966639
L2981,L2890,1,2015,247,5.3,YR,J,247,APCL15_064,N. Magbangon,2015-06-04,10:18:00,3,1850,7.7,YP,F,1850,APCL15_356001,N. Magbangon,2015-06-04,10:22:00,3,2015-06-04 02:18:00,2015,6,4,2,18,2015-06-04 02:22:00,2015,6,4,2,22,10.86158805525,124.721356253125,10.86156827395,124.72132909575,0.00369150629546258
L2982,L2484,1,2015,241,5.7,W,J,241,APCL15_069,N. Magbangon,2015-06-04,11:34:00,3,974,6.5,O,M,974,APCL12_185,Poroc Rose,2012-05-11,09:32:00,1,2015-06-04 03:34:00,2015,6,4,3,34,2012-05-11 01:32:00,2012,5,11,1,32,10.861170343125,124.721619088675,10.75624125,124.78565825,13.6035094484587
L3074,L0681,1,2015,964,5,O,J,964,APCL15_121,Haina,2015-06-09,14:50:00,3,725,8.8,O,M,725,APCL13_594,Sitio Baybayon,2013-06-03,14:39:30,1,2015-06-09 06:50:00,2015,6,9,6,50,2013-06-03 06:39:30,2013,6,3,6,39,10.6409585313,124.782799019,10.63394875,124.77655225,1.03614033099567
L3097,L2890,1,2015,35,4,YR,J,35,APCL15_077,Cabatoan,2015-06-05,10:56:00,3,1850,7.7,YP,F,1850,APCL15_356001,N. Magbangon,2015-06-04,10:22:00,3,2015-06-05 02:56:00,2015,6,5,2,56,2015-06-04 02:22:00,2015,6,4,2,22,10.8554865117,124.72615625475,10.86156827395,124.72132909575,0.857444512194548
L5068,L3050,1,2015,1257,8.4,YP,F,1257,APCL16_309,Poroc Rose,2016-05-28,13:40:00,3,1297,7.9,O,M,1297,APCL15_354587,N. Magbangon,2015-06-04,12:01:00,3,2016-05-28 05:40:00,2016,5,28,5,40,2015-06-04 04:01:00,2015,6,4,4,1,10.75623469895,124.785633087175,10.86097695165,124.721653286825,13.5823588853384
L5252,L0721,1,2015,1307,8.5,O,M,1307,APCL16_549,Wangag,2016-06-04,10:28:00,3,2300,11,YP,F,2300,APCL14_005,Visca,2014-06-07,15:26:00,1,2016-06-04 02:28:00,2016,6,4,2,28,2014-06-07 07:26:00,2014,6,7,7,26,10.86975458545,124.7159119346,10.7435755,124.78662025,16.0155686335103
L5486,L2333,1,2015,2016,8.8,YP,F,2016,APCL17_352,Wangag,2017-05-30,15:01:00,5,2148,8.5,YR,J,2148,APCL15_405490,Sitio Baybayon,2015-06-11,15:12:00,3,2017-05-30 07:01:00,2017,5,30,7,1,2015-06-11 07:12:00,2015,6,11,7,12,10.870286542925,124.7152036219,10.63271884805,124.77661749115,27.2549653522343
L2719,L1763,1,2015,2297,5.5,YR,J,2297,APCL15_082,Cabatoan,2015-06-05,11:54:00,3,2056,9.8,Y,F,2056,APCL12_095,Palanas,2012-05-09,12:33:00,1,2015-06-05 03:54:00,2015,6,5,3,54,2012-05-09 04:33:00,2012,5,9,4,33,10.855318307875,124.7262603161,10.87353975,124.7119265,2.56033397691529
L2914,L2928,1,2015,1274,5.9,Y,J,1274,APCL15_370907,Palanas,2015-05-29,14:03:00,3,1163,6.4,YR,J,1163,APCL15_363819,N. Magbangon,2015-06-04,11:48:00,3,2015-05-29 06:03:00,2015,5,29,6,3,2015-06-04 03:48:00,2015,6,4,3,48,10.87429541865,124.710887025575,10.861046186175,124.72161238315,1.88207479594243
L2981,L2477,1,2015,247,5.3,YR,J,247,APCL15_064,N. Magbangon,2015-06-04,10:18:00,3,2062,9.3,Y,F,2062,APCL12_154,S. Magbangon,2012-05-10,11:48:00,1,2015-06-04 02:18:00,2015,6,4,2,18,2012-05-10 03:48:00,2012,5,10,3,48,10.86158805525,124.721356253125,10.8577185,124.7245445,0.553495714611067
L2982,L2484,1,2015,241,5.7,W,J,241,APCL15_069,N. Magbangon,2015-06-04,11:34:00,3,974,6.5,O,M,974,APCL12_185,Poroc Rose,2012-05-11,09:32:00,1,2015-06-04 03:34:00,2015,6,4,3,34,2012-05-11 01:32:00,2012,5,11,1,32,10.861170343125,124.721619088675,10.75624125,124.78565825,13.6035094484587
L3051,L2928,1,2015,213,4.2,YR,J,213,APCL15_019,Palanas,2015-05-30,15:55:00,3,1163,6.4,YR,J,1163,APCL15_363819,N. Magbangon,2015-06-04,11:48:00,3,2015-05-30 07:55:00,2015,5,30,7,55,2015-06-04 03:48:00,2015,6,4,3,48,10.8735160483,124.711774103325,10.861046186175,124.72161238315,1.75409324284395
L3097,L2477,1,2015,35,4,YR,J,35,APCL15_077,Cabatoan,2015-06-05,10:56:00,3,2062,9.3,Y,F,2062,APCL12_154,S. Magbangon,2012-05-10,11:48:00,1,2015-06-05 02:56:00,2015,6,5,2,56,2012-05-10 03:48:00,2012,5,10,3,48,10.8554865117,124.72615625475,10.8577185,124.7245445,0.30426326088141
L3629,L5120,1,2015,2683,11,YP,F,2683,APCL16_067,Palanas,2016-05-13,15:24:00,3,1193,10.7,YP,F,1193,APCL16_044,Palanas,2016-05-13,11:19:00,3,2016-05-13 07:24:00,2016,5,13,7,24,2016-05-13 03:19:00,2016,5,13,3,19,10.8738160995,124.710823763175,10.874094692975,124.71068267475,0.034597762347719
L5221,L0409,1,2015,2398,7.5,O,M,2398,APCL16_513,Wangag,2016-06-03,13:22:00,3,1802,7,YP,F,1802,APCL13_408,Wangag,2013-05-30,10:30:00,1,2016-06-03 05:22:00,2016,6,3,5,22,2013-05-30 02:30:00,2013,5,30,2,30,10.870857120025,124.71445746485,10.86930575,124.71637225,0.271068555313707
L5252,L2296,1,2015,1307,8.5,O,M,1307,APCL16_549,Wangag,2016-06-04,10:28:00,3,2103,10.3,Y,F,2103,APCL12_243,Visca,2012-05-13,15:39:00,1,2016-06-04 02:28:00,2016,6,4,2,28,2012-05-13 07:39:00,2012,5,13,7,39,10.86975458545,124.7159119346,10.74385975,124.78638225,15.9753438987769
L5279,L3360,1,2015,1473,6.9,YR,J,1473,APCL16_586,Wangag,2016-06-05,12:49:00,3,2424,9.4,O,M,2424,APCL16_795,Wangag,2016-06-15,09:32:00,4,2016-06-05 04:49:00,2016,6,5,4,49,2016-06-15 01:32:00,2016,6,15,1,32,10.869333667225,124.716370885725,10.8714543935,124.7142178053,0.332997936905209
L5292,L2694,1,2015,2546,8.8,O,M,2546,APCL16_600,Wangag,2016-06-05,14:07:00,3,1071,8.5,YP,F,1071,APCL15_368386,Elementary School,2015-06-07,11:31:00,3,2016-06-05 06:07:00,2016,6,5,6,7,2015-06-07 03:31:00,2015,6,7,3,31,10.869048787275,124.7163290181,10.798912730525,124.76864397525,9.66771091351221
L5486,L2438,1,2015,2016,8.8,YP,F,2016,APCL17_352,Wangag,2017-05-30,15:01:00,5,1480,9.1,O,M,1480,APCL15_404635,Sitio Baybayon,2015-06-11,15:12:00,3,2017-05-30 07:01:00,2017,5,30,7,1,2015-06-11 07:12:00,2015,6,11,7,12,10.870286542925,124.7152036219,10.63271884805,124.77661749115,27.2549653522343
L3719,L2885,1,2016,74,5.1,YR,J,74,APCL16_673,N. Magbangon,2016-06-06,13:40:00,4,2213,11.6,YR,F,2213,APCL15_368417,Tamakin Dacot,2015-06-09,10:08:00,3,2016-06-06 05:40:00,2016,6,6,5,40,2015-06-09 02:08:00,2015,6,9,2,8,10.861020872825,124.721794459025,10.653731378275,124.783875863075,24.0265349607245
L3744,L2880,1,2016,840,5.8,YR,J,840,APCL16_647,N. Magbangon,2016-06-06,12:55:00,4,1395,9.6,O,M,1395,APCL15_370342,Hicgop South,2015-06-07,10:25:00,3,2016-06-06 04:55:00,2016,6,6,4,55,2015-06-07 02:25:00,2015,6,7,2,25,10.860984746825,124.7219708981,10.809235861525,124.765294252425,7.44967359049692
L5175,L0704,1,2016,1408,5.4,YR,J,1408,APCL16_449,S. Magbangon,2016-06-02,10:56:00,3,653,10.1,O,M,653,APCL14_073,Palanas,2014-06-13,10:40:00,1,2016-06-02 02:56:00,2016,6,2,2,56,2014-06-13 02:40:00,2014,6,13,2,40,10.856767643725,124.725209099675,10.873022,124.712181,2.30016304775029
L3719,L2638,1,2016,74,5.1,YR,J,74,APCL16_673,N. Magbangon,2016-06-06,13:40:00,4,1356,10.5,O,M,1356,APCL15_355666,Tamakin Dacot,2015-06-09,10:08:00,3,2016-06-06 05:40:00,2016,6,6,5,40,2015-06-09 02:08:00,2015,6,9,2,8,10.861020872825,124.721794459025,10.653731378275,124.783875863075,24.0265349607245
L3728,L5030,1,2016,85,5.4,YR,J,85,APCL16_664,N. Magbangon,2016-06-06,13:09:00,4,1352,9.7,YP,F,1352,APCL16_266,Hicgop South,2016-05-25,11:42:00,3,2016-06-06 05:09:00,2016,6,6,5,9,2016-05-25 03:42:00,2016,5,25,3,42,10.8609729493,124.7218858427,10.809133728025,124.7652508761,7.46032450943972
L5175,L2771,1,2016,1408,5.4,YR,J,1408,APCL16_449,S. Magbangon,2016-06-02,10:56:00,3,2422,7.3,O,M,2422,APCL15_399571,Wangag,2015-06-01,14:15:00,3,2016-06-02 02:56:00,2016,6,2,2,56,2015-06-01 06:15:00,2015,6,1,6,15,10.856767643725,124.725209099675,10.8708244725,124.71450308335,1.95191170390814
L3340,L5202,1,2017,1874,1.5,BW,J,1874,APCL17_153,Palanas,2017-05-20,14:12:00,5,1243,10.1,O,M,1243,APCL16_040,Palanas,2016-05-13,11:06:00,3,2017-05-20 06:12:00,2017,5,20,6,12,2016-05-13 03:06:00,2016,5,13,3,6,10.87279231285,124.711844301775,10.8741674479,124.710754738175,0.193744197063036
L3391,L5173,1,2017,982,NA,YR,J,982,APCL17_011,Wangag,2017-05-13,11:49:36,5,1218,7.8,O,M,1218,APCL16_447,S. Magbangon,2016-06-02,10:56:00,3,2017-05-13 03:49:36,2017,5,13,3,49,2016-06-02 02:56:00,2016,6,2,2,56,10.871468684625,124.714238990575,10.856767643725,124.725209099675,2.02664373549251
L3753,L0957,1,2017,2704,7.7,O,M,2704,APCL18_020,Palanas,2018-03-04,14:08:00,4,498,9.6,O,M,498,APCL14_165,Palanas,2014-06-17,10:11:00,1,2018-03-04 06:08:00,2018,3,4,6,8,2014-06-17 02:11:00,2014,6,17,2,11,10.873741752,124.7112242924,10.87378275,124.71090475,0.0351901472561364
L4417,L3629,1,2017,1882,2,YR,J,1882,APCL17_182,San Agustin,2017-05-22,10:31:36,5,2683,11,YP,F,2683,APCL16_067,Palanas,2016-05-13,15:24:00,3,2017-05-22 02:31:36,2017,5,22,2,31,2016-05-13 07:24:00,2016,5,13,7,24,10.76850781685,124.7840829799,10.8738160995,124.710823763175,14.1822899760728
L4942,L4990,1,2017,1004,2,YR,J,1004,APCL17_474,Sitio Baybayon,2017-06-05,14:34:23,5,1422,6.9,YR,J,1422,APCL16_221,Wangag,2016-05-21,09:25:00,3,2017-06-05 06:34:23,2017,6,5,6,34,2016-05-21 01:25:00,2016,5,21,1,25,10.633966976325,124.77660447825,10.87153921835,124.7142535122,27.2808278235235
L4949,L4997,0.987,2017,1006,1.9,YR,J,1006,APCL17_484,Sitio Baybayon,2017-06-05,15:06:39,5,532,9.5,YP,F,532,APCL16_228,Wangag,2016-05-21,10:07:00,3,2017-06-05 07:06:39,2017,6,5,7,6,2016-05-21 02:07:00,2016,5,21,2,7,10.6340103736,124.776558817825,10.8715184522,124.71426501635,27.2723602290064
L5491,L5502,1,2017,2582,5,YR,J,2582,APCL17_368,Sitio Baybayon,2017-06-02,12:29:27,5,2634,7.7,O,M,2634,APCL17_395,Sitio Baybayon,2017-06-03,11:27:28,5,2017-06-02 04:29:27,2017,6,2,4,29,2017-06-03 03:27:28,2017,6,3,3,27,10.632720671125,124.7768798657,10.632702461475,124.776686055125,0.0212773703474064
L3340,L5169,1,2017,1874,1.5,BW,J,1874,APCL17_153,Palanas,2017-05-20,14:12:00,5,2405,10.2,O,M,2405,APCL16_038,Palanas,2016-05-13,11:07:00,3,2017-05-20 06:12:00,2017,5,20,6,12,2016-05-13 03:07:00,2016,5,13,3,7,10.87279231285,124.711844301775,10.8741834783,124.7107418091,0.196017988394214
L3391,L5174,1,2017,982,NA,YR,J,982,APCL17_011,Wangag,2017-05-13,11:49:36,5,1275,9.2,YP,F,1275,APCL16_448,S. Magbangon,2016-06-02,10:56:00,3,2017-05-13 03:49:36,2017,5,13,3,49,2016-06-02 02:56:00,2016,6,2,2,56,10.871468684625,124.714238990575,10.856767643725,124.725209099675,2.02664373549251
L3609,L0732,1,2017,988,5.3,YR,J,988,APCL17_077,Palanas,2017-05-16,09:55:20,5,2278,9.7,O,M,2278,APCL14_169,Palanas,2014-06-17,10:24:00,1,2017-05-16 01:55:20,2017,5,16,1,55,2014-06-17 02:24:00,2014,6,17,2,24,10.874288880725,124.71063609235,10.87386,124.710782,0.0502806771412294
L3753,L3425,1,2017,2704,7.7,O,M,2704,APCL18_020,Palanas,2018-03-04,14:08:00,4,1679,11.8,YP,F,1679,APCL17_065,Palanas,2017-05-15,13:23:24,5,2018-03-04 06:08:00,2018,3,4,6,8,2017-05-15 05:23:24,2017,5,15,5,23,10.873741752,124.7112242924,10.873983192725,124.710797444,0.053789874029478
